epoch,learning_rate,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,accuracy_val,precision_val,recall_val,f1_val,auc_val,sensitivity_val,specificity_val,precision_neutrino_val,precision_muon_val,true_positives_val,true_negatives_val,false_positives_val,false_negatives_val,total_neutrinos_val,total_muons_val,loss_val,positive_class_ratio_val,class_balance_val
0,0.0009997557473810372,153.87956762313843,0.5040119047619047,0.5046683524606108,0.4201679471485661,0.4585578350110854,0.5080904202658955,0.4201679471485661,0.5878135518178745,0.5046683524606108,0.5035439589569587,88213,123472,86581,121734,209947,210053,0.6926566860720851,0.4998738095238095,0.9994953654553851,0.49970555555555557,0.0,0.0,0.0,0.5664708842242857,0.0,1.0,0.0,0.49970555555555557,0,89947,0,90053,90053,89947,0.6933522504868876,0.5002944444444445,0.9988229153942677
1,0.0009990232305719946,153.58567357063293,0.5006214285714286,0.5005483207676491,0.45220460401910956,0.4751499560829494,0.5004834378425845,0.45220460401910956,0.5490138203215379,0.5005483207676491,0.5006816307037728,94939,115322,94731,115008,209947,210053,0.6934201622031071,0.4998738095238095,0.9994953654553851,0.5002944444444445,0.5002944444444445,1.0,0.6669283436954968,0.5629027886041893,1.0,0.0,0.5002944444444445,0.0,90053,0,89947,0,90053,89947,0.6933785110563782,0.5002944444444445,0.9988229153942677
2,0.0009978031724785247,153.55218243598938,0.5005714285714286,0.5004944499970915,0.4507947243828204,0.47434631596357313,0.5004888084098201,0.4507947243828204,0.5503230137155861,0.5004944499970915,0.5006344710503636,94643,115597,94456,115304,209947,210053,0.6933976669161876,0.4998738095238095,0.9994953654553851,0.5002944444444445,0.5002944444444445,1.0,0.6669283436954968,0.5299131235217239,1.0,0.0,0.5002944444444445,0.0,90053,0,89947,0,90053,89947,0.6933446173220555,0.5002944444444445,0.9988229153942677
3,0.0009960967771506667,155.88746881484985,0.49983571428571427,0.49969327929685536,0.4733480354565676,0.48616400660429276,0.5004151779062639,0.4733480354565676,0.5263100265171171,0.49969327929685536,0.49996382087716285,99378,110553,99500,110569,209947,210053,0.6933503803830551,0.4998738095238095,0.9994953654553851,0.49970555555555557,0.0,0.0,0.0,0.5217405598850904,0.0,1.0,0.0,0.49970555555555557,0,89947,0,90053,90053,89947,0.6933631242465362,0.5002944444444445,0.9988229153942677
4,0.0009939057285945933,156.35027980804443,0.4998595238095238,0.4997109199971092,0.4610830352422278,0.479620477376042,0.4990821863360966,0.4610830352422278,0.5386164444211698,0.4997109199971092,0.49998674220662714,96803,113138,96915,113144,209947,210053,0.693354949636622,0.4998738095238095,0.9994953654553851,0.5002944444444445,0.5002944444444445,1.0,0.6669283436954968,0.48585553157631955,1.0,0.0,0.5002944444444445,0.0,90053,0,89947,0,90053,89947,0.6933411846537072,0.5002944444444445,0.9988229153942677
5,0.0009912321891107012,155.5250689983368,0.5000619047619047,0.49993614213342036,0.503412766079058,0.5016684308206402,0.4998418304207642,0.503412766079058,0.4967127344051263,0.49993614213342036,0.5001893639767394,105690,104336,105717,104257,209947,210053,0.6933438944279021,0.4998738095238095,0.9994953654553851,0.49970555555555557,0.0,0.0,0.0,0.4802774227900346,0.0,1.0,0.0,0.49970555555555557,0,89947,0,90053,90053,89947,0.6933279620389525,0.5002944444444445,0.9988229153942677
6,0.0009880787971596802,161.27532839775085,0.49973809523809526,0.49963165673119075,0.5265567024058453,0.5127409510027643,0.49850502956464005,0.5265567024058453,0.4729330216659605,0.49963165673119075,0.49985659583675074,110549,99341,110712,99398,209947,210053,0.6933412395694647,0.4998738095238095,0.9994953654553851,0.5002944444444445,0.5002944444444445,1.0,0.6669283436954968,0.5,1.0,0.0,0.5002944444444445,0.0,90053,0,89947,0,90053,89947,0.6933228113842757,0.5002944444444445,0.9988229153942677
7,0.0009844486647586726,157.782381772995,0.4994404761904762,0.49932942787158546,0.5107336613526271,0.5049671642072199,0.49888357047310544,0.5107336613526271,0.4881529899596768,0.49932942787158546,0.4995566555262158,107227,102538,107515,102720,209947,210053,0.6933455576917008,0.4998738095238095,0.9994953654553851,0.49970555555555557,0.0,0.0,0.0,0.4952410562508799,0.0,1.0,0.0,0.49970555555555557,0,89947,0,90053,90053,89947,0.6933251013972697,0.5002944444444445,0.9988229153942677
8,0.000980345374410087,159.76698970794678,0.49878333333333336,0.49874666666666667,0.5345063277874892,0.5160076974895792,0.4988170050947159,0.5345063277874892,0.4630783659362161,0.49874666666666667,0.49882564102564103,112218,97271,112782,97729,209947,210053,0.6933397254625666,0.4998738095238095,0.9994953654553851,0.49970555555555557,0.0,0.0,0.0,0.5016026550002294,0.0,1.0,0.0,0.49970555555555557,0,89947,0,90053,90053,89947,0.6933502708670936,0.5002944444444445,0.9988229153942677
9,0.0009757729755661012,157.4757478237152,0.4989928571428571,0.4990340909090909,0.5856811480992822,0.5388969358843161,0.498141048929211,0.5856811480992822,0.4123483120926623,0.4990340909090909,0.498934331797235,122962,86615,123438,86985,209947,210053,0.6933448177913861,0.4998738095238095,0.9994953654553851,0.49970555555555557,0.0,0.0,0.0,0.49648879785642386,0.0,1.0,0.0,0.49970555555555557,0,89947,0,90053,90053,89947,0.6933338306605943,0.5002944444444445,0.9988229153942677
