epoch,learning_rate,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,accuracy_val,precision_val,recall_val,f1_val,auc_val,sensitivity_val,specificity_val,precision_neutrino_val,precision_muon_val,true_positives_val,true_negatives_val,false_positives_val,false_negatives_val,total_neutrinos_val,total_muons_val,loss_val,positive_class_ratio_val,class_balance_val
0,0.0009997557473810372,14.824754238128662,0.5620238095238095,0.5913214712708348,0.40053353658536583,0.4775780295930249,0.5823698963076493,0.40053353658536583,0.7233910891089109,0.5913214712708348,0.5470285446888161,8408,15197,5811,12584,20992,21008,0.6799767209403783,0.4998095238095238,0.9992383853769993,0.5315,0.799791449426486,0.08514653641207816,0.15390789605698807,0.6228301340880071,0.08514653641207816,0.9786476868327402,0.799791449426486,0.5164016196232616,767,8800,192,8241,9008,8992,0.6839684801744231,0.5004444444444445,0.9982238010657193
1,0.0009990232305719946,14.531511306762695,0.5670714285714286,0.5971098665560396,0.4113948170731707,0.4871527288111691,0.5907106605566492,0.4113948170731707,0.7226294744859101,0.5971098665560396,0.5512946217816029,8636,15181,5827,12356,20992,21008,0.6768387146633809,0.4998095238095238,0.9992383853769993,0.5004444444444445,0.5004444444444445,1.0,0.6670616113744076,0.531307771650585,1.0,0.0,0.5004444444444445,0.0,9008,0,8992,0,9008,8992,0.8365092594572838,0.5004444444444445,0.9982238010657193
2,0.0009978031724785247,14.370524883270264,0.5010476190476191,0.5009693053311793,0.4431688262195122,0.4702997826196856,0.4986384193035348,0.4431688262195122,0.5588823305407464,0.5009693053311793,0.5011096884336321,9303,11741,9267,11689,20992,21008,0.6954809766047632,0.4998095238095238,0.9992383853769993,0.49955555555555553,0.0,0.0,0.0,0.46623170171393713,0.0,1.0,0.0,0.49955555555555553,0,8992,0,9008,9008,8992,0.693507766892724,0.5004444444444445,0.9982238010657193
3,0.0009960967771506667,14.279518127441406,0.5015,0.5015343413491045,0.4282107469512195,0.46198124116664524,0.5019692553878284,0.4282107469512195,0.5747334348819497,0.5015343413491045,0.50147443618391,8989,12074,8934,12003,20992,21008,0.6938996206300961,0.4998095238095238,0.9992383853769993,0.5004444444444445,0.5004444444444445,1.0,0.6670616113744076,0.46737426434509777,1.0,0.0,0.5004444444444445,0.0,9008,0,8992,0,9008,8992,0.6934571866448044,0.5004444444444445,0.9982238010657193
4,0.0009939057285945933,14.19003677368164,0.4988095238095238,0.4982973226867074,0.404296875,0.44640227224910584,0.500426792578945,0.404296875,0.5932501904036558,0.4982973226867074,0.49915892342198015,8487,12463,8545,12505,20992,21008,0.693749280504905,0.4998095238095238,0.9992383853769993,0.5004444444444445,0.5004444444444445,1.0,0.6670616113744076,0.4665438068988104,1.0,0.0,0.5004444444444445,0.0,9008,0,8992,0,9008,8992,0.6934823647458502,0.5004444444444445,0.9982238010657193
5,0.0009912321891107012,14.486231565475464,0.5007619047619047,0.5006321778527025,0.45269626524390244,0.4754590483814479,0.5020605807979074,0.45269626524390244,0.5487909367859863,0.5006321778527025,0.5008688852202624,9503,11529,9479,11489,20992,21008,0.6936220206025886,0.4998095238095238,0.9992383853769993,0.49955555555555553,0.0,0.0,0.0,0.4655803678659697,0.0,1.0,0.0,0.49955555555555553,0,8992,0,9008,9008,8992,0.6936369250852166,0.5004444444444445,0.9982238010657193
6,0.0009880787971596802,14.45458173751831,0.4999047619047619,0.4996130530117374,0.3690453506097561,0.424516411858184,0.4977963262108047,0.3690453506097561,0.6306645087585682,0.4996130530117374,0.5000754887899147,7747,13249,7759,13245,20992,21008,0.6938128958719479,0.4998095238095238,0.9992383853769993,0.49955555555555553,0.0,0.0,0.0,0.5323630132250968,0.0,1.0,0.0,0.49955555555555553,0,8992,0,9008,9008,8992,0.693465290762854,0.5004444444444445,0.9982238010657193
7,0.0009844486647586726,14.602266311645508,0.49883333333333335,0.49857464366091525,0.4748951981707317,0.48644692219484226,0.4991640372936471,0.4748951981707317,0.5227532368621478,0.49857464366091525,0.4990683935469212,9969,10982,10026,11023,20992,21008,0.6936347723731878,0.4998095238095238,0.9992383853769993,0.49955555555555553,0.0,0.0,0.0,0.5327001492939452,0.0,1.0,0.0,0.49955555555555553,0,8992,0,9008,9008,8992,0.6936465569421755,0.5004444444444445,0.9982238010657193
8,0.000980345374410087,14.664756298065186,0.4995952380952381,0.4992285379250756,0.3853372713414634,0.43495093426535825,0.49860580592011694,0.3853372713414634,0.6137661843107388,0.4992285379250756,0.4998255611117572,8089,12894,8114,12903,20992,21008,0.6936086385445754,0.4998095238095238,0.9992383853769993,0.5004444444444445,0.5004444444444445,1.0,0.6670616113744076,0.46525017007420844,1.0,0.0,0.5004444444444445,0.0,9008,0,8992,0,9008,8992,0.6934137631815376,0.5004444444444445,0.9982238010657193
9,0.0009757729755661012,14.705578804016113,0.5018095238095238,0.501809665744092,0.4491234756097561,0.47400703871292105,0.500926577231975,0.4491234756097561,0.5544554455445545,0.501809665744092,0.5018094089264173,9428,11648,9360,11564,20992,21008,0.6935556018243807,0.4998095238095238,0.9992383853769993,0.5004444444444445,0.5004444444444445,1.0,0.6670616113744076,0.4661043559343059,1.0,0.0,0.5004444444444445,0.0,9008,0,8992,0,9008,8992,0.6934770628915611,0.5004444444444445,0.9982238010657193
10,0.0009707359806323418,14.736987352371216,0.5005238095238095,0.5004217883827429,0.3956269054878049,0.4418963498989039,0.5017307734938083,0.3956269054878049,0.6053408225437928,0.5004217883827429,0.5005904581955598,8305,12717,8291,12687,20992,21008,0.693475590288458,0.4998095238095238,0.9992383853769993,0.5004444444444445,0.5004444444444445,1.0,0.6670616113744076,0.4666137390528308,1.0,0.0,0.5004444444444445,0.0,9008,0,8992,0,9008,8992,0.6937461098035177,0.5004444444444445,0.9982238010657193
