epoch,Expos_on_Suppr,accuracy,loss,val_Expos_on_Suppr,val_accuracy,val_loss
0,0.35784539580345154,0.9805229306221008,0.013048583641648293,0.6362215280532837,0.9876293540000916,0.008013316430151463
1,0.6134601831436157,0.9874523282051086,0.00818068441003561,0.7128086090087891,0.9896600246429443,0.006843090523034334
2,0.6716557741165161,0.9891040325164795,0.007121159229427576,0.7086405754089355,0.9899417757987976,0.0065102409571409225
3,0.7023285627365112,0.9899001717567444,0.006580703891813755,0.7535067200660706,0.9907553791999817,0.006032044533640146
4,0.7137539982795715,0.9903949499130249,0.006242493167519569,0.7546489238739014,0.9910938143730164,0.005843855906277895
5,0.7260461449623108,0.9908185601234436,0.005996636115014553,0.7669124603271484,0.991420567035675,0.005578400567173958
6,0.7356115579605103,0.9911544322967529,0.005755201447755098,0.7734650373458862,0.9910421371459961,0.005791802890598774
7,0.7493337392807007,0.991397500038147,0.005614797584712505,0.7721725702285767,0.9916056394577026,0.005501091945916414
8,0.7549322843551636,0.9916180372238159,0.0054519339464604855,0.7844060659408569,0.9919057488441467,0.005256013013422489
9,0.7583423852920532,0.9918427467346191,0.005326284561306238,0.785838782787323,0.9923175573348999,0.005012675188481808
10,0.7605558037757874,0.9920105338096619,0.005208951886743307,0.7900168299674988,0.9924692511558533,0.004948604851961136
11,0.7641093134880066,0.9921264052391052,0.005106923170387745,0.7877525091171265,0.9922908544540405,0.005038660019636154
12,0.772364616394043,0.9922922253608704,0.005040007643401623,0.8117886185646057,0.9926026463508606,0.0048866868019104
13,0.7693578004837036,0.9924136400222778,0.0049422369338572025,0.7994850277900696,0.9925026297569275,0.004867834039032459
14,0.7862451672554016,0.9925072193145752,0.004872419871389866,0.8002564907073975,0.9928560256958008,0.004686456173658371
15,0.7845284342765808,0.9926127791404724,0.004795426968485117,0.7957277894020081,0.9925509691238403,0.004832648206502199
16,0.7897486090660095,0.9927442073822021,0.004718118812888861,0.8087628483772278,0.9929510951042175,0.0045544239692389965
17,0.7814299464225769,0.9928072690963745,0.004679175093770027,0.8149847984313965,0.9931795001029968,0.004485159646719694
18,0.7921087145805359,0.9929422736167908,0.0046280198730528355,0.7887744307518005,0.992889404296875,0.004616603255271912
19,0.7995706796646118,0.9929850101470947,0.004569284152239561,0.7822920083999634,0.9929444193840027,0.0046037244610488415
20,0.7999140024185181,0.9930600523948669,0.004508766811341047,0.7932831048965454,0.993267834186554,0.0043952143751084805
21,0.7926153540611267,0.993120014667511,0.004488804843276739,0.8167080879211426,0.9934478998184204,0.004304439760744572
22,0.79913729429245,0.9931989312171936,0.004440713208168745,0.8207157850265503,0.9935196042060852,0.004282533191144466
23,0.8064275979995728,0.993261456489563,0.004380318336188793,0.8215373754501343,0.9935079216957092,0.0042635430581867695
24,0.8006473779678345,0.9932994842529297,0.0043602813966572285,0.8115682005882263,0.9932761788368225,0.004369313828647137
25,0.8024991154670715,0.9933547377586365,0.004314918536692858,0.8297531008720398,0.9933562278747559,0.0043443297035992146
26,0.8047341704368591,0.9934108853340149,0.004296354949474335,0.8215473890304565,0.9936729669570923,0.004137042909860611
27,0.8150445818901062,0.9934364557266235,0.004264086950570345,0.8233808875083923,0.9936913251876831,0.004138018004596233
28,0.8134961724281311,0.9935136437416077,0.004218579735606909,0.8166479468345642,0.9936996698379517,0.004124707076698542
29,0.8130578398704529,0.9935358762741089,0.004196691792458296,0.8152953386306763,0.9937729835510254,0.0040452065877616405
30,0.8190480470657349,0.9936172962188721,0.004151288885623217,0.829843282699585,0.9938380122184753,0.004034907091408968
31,0.8234765529632568,0.9936122894287109,0.004147569183260202,0.8300536870956421,0.993946373462677,0.003996930085122585
32,0.8218931555747986,0.9937100410461426,0.004095612093806267,0.8285207748413086,0.9938730597496033,0.0039847432635724545
33,0.8199547529220581,0.9936972856521606,0.0040895226411521435,0.8121693730354309,0.9937446713447571,0.004024670924991369
34,0.8257383108139038,0.9937531352043152,0.004042834043502808,0.8278194069862366,0.9939063787460327,0.003973378334194422
35,0.8232948780059814,0.9937867522239685,0.004033857490867376,0.8372074365615845,0.9939914345741272,0.003916221670806408
36,0.825451672077179,0.993807852268219,0.004032066557556391,0.8390008807182312,0.9940097332000732,0.003966908901929855
37,0.8229632377624512,0.9938389658927917,0.004009709227830172,0.8302941918373108,0.9940030574798584,0.003940260503441095
38,0.8254649639129639,0.9938930869102478,0.003968134988099337,0.8440706133842468,0.9941414594650269,0.003845313796773553
39,0.818239688873291,0.993950366973877,0.003941871225833893,0.8204552531242371,0.9939213991165161,0.003950785379856825
40,0.8230848908424377,0.9939830899238586,0.003924096003174782,0.8297631740570068,0.9940030574798584,0.0038998578675091267
41,0.8301935195922852,0.994004487991333,0.003903724951669574,0.8372976183891296,0.9941164255142212,0.0038213925436139107
42,0.8281134366989136,0.9940086603164673,0.0038798097521066666,0.8308051228523254,0.9942248463630676,0.003781865816563368
43,0.8325035572052002,0.9940434098243713,0.0038793450221419334,0.8472968339920044,0.9940764307975769,0.003849063767120242
44,0.8286884427070618,0.9940745234489441,0.0038563190028071404,0.8503025770187378,0.9942831993103027,0.003789553651586175
45,0.833346962928772,0.9940864443778992,0.003828614018857479,0.8418864011764526,0.9942364692687988,0.0037874311674386263
46,0.8317818641662598,0.994099497795105,0.0038229026831686497,0.8501423001289368,0.9941364526748657,0.0038023332599550486
47,0.8370554447174072,0.9941350817680359,0.0038009549025446177,0.8378987908363342,0.9942564964294434,0.003773825243115425
48,0.8355770111083984,0.9941986799240112,0.003775669727474451,0.8412151336669922,0.9942531585693359,0.0037855191621929407
