epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance,val_domain_loss,val_domain_accuracy,val_domain_utilization,val_source_muons_val,val_target_events_val,val_domain_batch_size_val
10,0.0004852497518540794,0.0009704699440926358,0.0019409103285697486,171.96248412132263,0.8609357142857142,0.8651531069580052,0.8550777100887367,0.8600859027090735,0.9400189228007518,0.8550777100887367,0.8667907623314116,0.8651531069580052,0.8568174759291852,179521,182072,27981,30426,209947,210053,0.31102463069409314,0.4998738095238095,0.9994953654553851,0.31102463069409314,0.021831152188148118,0.33285578288224127,0.9947749090252782,0.4621171572600098,0.9830989519219704,255.8501827040195,255.78562728380024,251.38733252131547,0.8711111111111111,0.8099667096319514,0.9699399242668206,0.8827643361025206,0.970521062925144,0.9699399242668206,0.7721658309893604,0.8099667096319514,0.9624866617702083,87346,69454,20493,2707,90053,89947,0.39756861041215336,0.5002944444444445,0.9988229153942677,2.7947784140706062,0.49999999593604694,0.9841973284180756,255.53125,255.6818181818182,251.46875
11,0.00048247923322911887,0.0009649233547011817,0.0019298115976453074,169.85603761672974,0.8648595238095238,0.8668400432962633,0.8620794772013889,0.8644532061584608,0.9427389908651661,0.8620794772013889,0.8676381675101046,0.8668400432962633,0.8629016221130081,180991,182250,27803,28956,209947,210053,0.30413211824034364,0.4998738095238095,0.9994953654553851,0.30413211824034364,0.04097694820150433,0.345109066441848,0.9892992543535314,0.5005202111902354,0.9823913937229536,255.8501827040195,255.78562728380024,251.19244823386114,0.8909722222222223,0.8439740559126341,0.9594461039610007,0.8980132725657003,0.9720320046219632,0.9594461039610007,0.8224176459470577,0.8439740559126341,0.9529539071960426,86401,73974,15973,3652,90053,89947,0.36523114356466313,0.5002944444444445,0.9988229153942677,1.0374953999099406,0.549356572329998,0.9841973284180756,255.53125,255.6818181818182,251.46875
12,0.0004794797791081534,0.0009589184355291487,0.001917795748371139,171.3499619960785,0.8674261904761905,0.8696020930366282,0.8644038733585143,0.8669951915612257,0.9443586820681075,0.8644038733585143,0.8704469824282443,0.8696020930366282,0.8652772256611203,181479,182840,27213,28468,209947,210053,0.30013245681752243,0.4998738095238095,0.9994953654553851,0.30013245681752243,0.014147154417118096,0.3142796112346405,0.9974145749164122,0.5370495669980351,0.9823795959304034,255.8501827040195,255.78562728380024,251.1875761266748,0.8955166666666666,0.8537115735959965,0.9547599746815764,0.9014127329436742,0.9720461911700927,0.9547599746815764,0.836203542085895,0.8537115735959965,0.9486176975078195,85979,75214,14733,4074,90053,89947,0.3180865337648852,0.5002944444444445,0.9988229153942677,1.8189163773574613,0.5077159291302616,0.9841973284180756,255.53125,255.6818181818182,251.46875
13,0.00047625434959027205,0.000952461112706777,0.0019048746389397867,171.14826941490173,0.8684904761904761,0.8713617051919061,0.8645467665648949,0.8679408586211184,0.945728917688266,0.8645467665648949,0.8724321956839465,0.8713617051919061,0.8656652259146413,181509,183257,26796,28438,209947,210053,0.29648727176758605,0.4998738095238095,0.9994953654553851,0.29648727176758605,0.013307012678418948,0.30979428444600504,0.9974188388628152,0.5716699660851172,0.9832044771940857,255.8501827040195,255.78562728380024,251.41047503045067,0.8922166666666667,0.8461025982678214,0.958990816519161,0.899016765475924,0.9702186347338451,0.958990816519161,0.8253638253638254,0.8461025982678214,0.9526125340040035,86360,74239,15708,3693,90053,89947,0.36622863897884433,0.5002944444444445,0.9988229153942677,1.2657231448048896,0.5288694492456588,0.9841973284180756,255.53125,255.6818181818182,251.46875
14,0.00047280612778499796,0.00094555775883209,0.0018910610209262738,170.7163724899292,0.8712071428571428,0.8730420879289216,0.8686716171224166,0.8708513691287666,0.9473218938895056,0.8686716171224166,0.8737413890779946,0.8730420879289216,0.8693913900257693,182375,183532,26521,27572,209947,210053,0.29224068793977515,0.4998738095238095,0.9994953654553851,0.29224068793977515,0.009882447344248708,0.30212313528402385,0.9982988392246771,0.6043677771171636,0.9832583253710679,255.8501827040195,255.78562728380024,251.42752740560292,0.8958555555555555,0.8509790023921325,0.9599347051180971,0.9021791312696988,0.9729932960664406,0.9599347051180971,0.83170089052442,0.8509790023921325,0.9539895685884439,86445,74809,15138,3608,90053,89947,0.3460471445101906,0.5002944444444445,0.9988229153942677,2.268924697556279,0.5000057467682795,0.9841973284180756,255.53125,255.6818181818182,251.46875
15,0.0004691385166709441,0.0009382151866819101,0.0018763685267038418,171.28518843650818,0.8729238095238095,0.8753697958870547,0.8695908967501321,0.8724707771416556,0.9484594320345248,0.8695908967501321,0.876255040394567,0.8753697958870547,0.8705111166814069,182568,184060,25993,27379,209947,210053,0.2892660388448497,0.4998738095238095,0.9994953654553851,0.2892660388448497,0.00938743666020289,0.29865347550505256,0.9980760859949435,0.6351489523872873,0.9819911161397616,255.8501827040195,255.78562728380024,251.0791717417783,0.8913277777777778,0.8412928964288481,0.9647874029738043,0.898818052502263,0.9733596660700372,0.9647874029738043,0.8177815824874648,0.8412928964288481,0.9586721926806381,86882,73557,16390,3171,90053,89947,0.35536153707653284,0.5002944444444445,0.9988229153942677,3.743724737655033,0.49999999593604694,0.9841973284180756,255.53125,255.6818181818182,251.46875
16,0.0004652551357374841,0.0009304406424884702,0.001860811655990442,172.50199151039124,0.8744285714285714,0.8758002132308296,0.8725297336946943,0.8741619145331775,0.9493845164698664,0.8725297336946943,0.8763264509433334,0.8758002132308296,0.8730678201643924,183185,184075,25978,26762,209947,210053,0.286616031239297,0.4998738095238095,0.9994953654553851,0.286616031239297,0.018251586457726916,0.3048676176970239,0.9953286489528512,0.6640367702678489,0.9829703493350432,255.8501827040195,255.78562728380024,251.35444579780756,0.8814166666666666,0.8252726859566732,0.9678966830644177,0.8909127148398571,0.9725187343586573,0.9678966830644177,0.7948347360112066,0.8252726859566732,0.9611341148634115,87162,71493,18454,2891,90053,89947,0.4249116287312724,0.5002944444444445,0.9988229153942677,3.4835947420109403,0.49999999593604694,0.9841973284180756,255.53125,255.6818181818182,251.46875
17,0.00046115981741275293,0.000922241798788257,0.0018444057615392645,167.99685740470886,0.8750119047619047,0.8771919737825562,0.8720486598998795,0.8746127553664881,0.9501391589329001,0.8720486598998795,0.8779736542682085,0.8771919737825562,0.8728583328600368,183084,184421,25632,26863,209947,210053,0.28462804322120766,0.4998738095238095,0.9994953654553851,0.28462804322120766,0.006016806646374402,0.2906448498675821,0.9990199735335978,0.6910694698329305,0.9821526484181962,255.8501827040195,255.78562728380024,251.13154689403166,0.8896166666666666,0.8398543426047881,0.9629884623499495,0.8972163737849764,0.9730919320265724,0.9629884623499495,0.8161584043936985,0.8398543426047881,0.9565698947148963,86720,73411,16536,3333,90053,89947,0.35853726023130794,0.5002944444444445,0.9988229153942677,2.7163903828371656,0.5000055445866152,0.9841973284180756,255.53125,255.6818181818182,251.46875
18,0.0004568566032815033,0.0009136267468501441,0.001827167033987425,167.42476844787598,0.8773142857142857,0.87884962143496,0.8752161259746507,0.8770291103654666,0.951271763460825,0.8752161259746507,0.8794113866500359,0.87884962143496,0.8757923582763215,183749,184723,25330,26198,209947,210053,0.2813887677442432,0.4998738095238095,0.9994953654553851,0.2813887677442432,0.010293587074069426,0.2916823548183126,0.9974716911943182,0.7162978701990246,0.9824582397124156,255.8501827040195,255.78562728380024,251.20462850182705,0.8928888888888888,0.8437952374938064,0.9644431612494864,0.9000943093138221,0.9737656082478512,0.9644431612494864,0.8212502918385272,0.8437952374938064,0.9584538931634466,86851,73869,16078,3202,90053,89947,0.36868898883800616,0.5002944444444445,0.9988229153942677,3.959002240814946,0.49999999593604694,0.9841973284180756,255.53125,255.6818181818182,251.46875
19,0.00045234974009654953,0.0009046039886902867,0.0018091124858777604,170.7430064678192,0.8784809523809524,0.8808155557579215,0.8753447298603934,0.8780716213956378,0.9519586988900677,0.8753447298603934,0.881615592255288,0.8808155557579215,0.8761763272567268,183776,185186,24867,26171,209947,210053,0.2795997559842761,0.4998738095238095,0.9994953654553851,0.2795997559842761,0.005928874140873043,0.2855286301251492,0.9990923877319958,0.7397830512740042,0.9830688013791197,255.8501827040195,255.78562728380024,251.36662606577346,0.9007666666666667,0.8602525076101601,0.9571363530365451,0.9061120222025987,0.974528838697717,0.9571363530365451,0.8443305502129032,0.8602525076101601,0.9516321032516759,86193,75945,14002,3860,90053,89947,0.2974665726281025,0.5002944444444445,0.9988229153942677,1.0323591684414581,0.5868661605160345,0.9841973284180756,255.53125,255.6818181818182,251.46875
