epoch,learning_rate,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance
0,0.009997535269026829,677.1352059841156,0.5002057142857143,0.5004016936892635,0.4998757629156587,0.5001385900392339,0.5003356057942775,0.4998757629156587,0.5005359240617041,0.5004016936892635,0.5000099934043531,175025,175119,174744,175112,350137,349863,0.6931564767792194,0.5001957142857143,0.9992174491698963,0.5004566666666667,0.0,0.0,0.0,0.5119298941960971,0.0,1.0,0.0,0.5004566666666667,0,150137,0,149863,149863,150137,0.6929030952396653,0.49954333333333334,0.9981750001665146
1,0.009990143508499217,678.9832005500793,0.49953714285714285,0.4997481271163383,0.5298383204288607,0.5143535230870749,0.4992260420283558,0.5298383204288607,0.4692122345032198,0.4997481271163383,0.4992989254245227,185516,164160,185703,164621,350137,349863,0.6929666574955858,0.5001957142857143,0.9992174491698963,0.49954333333333334,0.49954333333333334,1.0,0.6662606171212124,0.5,1.0,0.0,0.49954333333333334,0.0,149863,0,150137,0,149863,150137,0.6928999355323485,0.49954333333333334,0.9981750001665146
2,0.009977832013192385,682.5507459640503,0.49887714285714285,0.4989987503664049,0.46188491933157594,0.4797250797944921,0.49813509399181694,0.46188491933157594,0.535898337349191,0.4989987503664049,0.498772296191857,161723,187491,162372,188414,350137,349863,0.6929749262180364,0.5001957142857143,0.9992174491698963,0.49954333333333334,0.49954333333333334,1.0,0.6662606171212124,0.5,1.0,0.0,0.49954333333333334,0.0,149863,0,150137,0,149863,150137,0.6928795812073014,0.49954333333333334,0.9981750001665146
3,0.009960612933065818,677.8926911354065,0.49979285714285715,0.49998854472140764,0.4986276800223912,0.4993071851124162,0.49964438897408603,0.4986276800223912,0.5009589467877427,0.49998854472140764,0.49959807990513544,174588,175267,174596,175549,350137,349863,0.6929483611797284,0.5001957142857143,0.9992174491698963,0.5004566666666667,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5004566666666667,0,150137,0,149863,149863,150137,0.6928754217490402,0.49954333333333334,0.9981750001665146
4,0.009938503261272713,684.7567489147186,0.49969857142857144,0.49989189884068813,0.488663009050743,0.4942136800648172,0.4993077003306631,0.488663009050743,0.5107427764582136,0.49989189884068813,0.4995135969228017,171099,178690,171173,179038,350137,349863,0.692957243187118,0.5001957142857143,0.9992174491698963,0.5004566666666667,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5004566666666667,0,150137,0,149863,149863,150137,0.6929263237088207,0.49954333333333334,0.9981750001665146
5,0.009911524817389801,687.3783099651337,0.5001557142857143,0.500332044747754,0.5293328040167135,0.5144240176860231,0.49973268515087976,0.5293328040167135,0.47095577411729733,0.500332044747754,0.49995752014758715,185339,164770,185093,164798,350137,349863,0.6929609357765867,0.5001957142857143,0.9992174491698963,0.5004566666666667,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5004566666666667,0,150137,0,149863,149863,150137,0.6928998706385544,0.49954333333333334,0.9981750001665146
6,0.009879704225884044,687.9956068992615,0.5003142857142857,0.5005544321962038,0.46025984114789353,0.4795622001880706,0.4999920968967483,0.46025984114789353,0.5404000994675059,0.5005544321962038,0.5001097741298086,161154,189066,160797,188983,350137,349863,0.6929603944748803,0.5001957142857143,0.9992174491698963,0.49954333333333334,0.49954333333333334,1.0,0.6662606171212124,0.5,1.0,0.0,0.49954333333333334,0.0,149863,0,150137,0,149863,150137,0.6928845283419606,0.49954333333333334,0.9981750001665146
7,0.009843072889837512,671.878556728363,0.4998242857142857,0.5000201090484973,0.4971139868108769,0.49856281301961075,0.49952432631895577,0.4971139868108769,0.5025367072253997,0.5000201090484973,0.49963057476882505,174058,175819,174044,176079,350137,349863,0.6929645073479229,0.5001957142857143,0.9992174491698963,0.49954333333333334,0.49954333333333334,1.0,0.6662606171212124,0.5,1.0,0.0,0.49954333333333334,0.0,149863,0,150137,0,149863,150137,0.6929972362497968,0.49954333333333334,0.9981750001665146
8,0.00980166695995633,662.803572177887,0.49936857142857144,0.4995636436470807,0.498633392072246,0.49909808439414427,0.4993322510201389,0.498633392072246,0.5001043265506784,0.4995636436470807,0.4991740724362723,174590,174968,174895,175547,350137,349863,0.6929538795019634,0.5001957142857143,0.9992174491698963,0.5004566666666667,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5004566666666667,0,150137,0,149863,149863,150137,0.6929979593375437,0.49954333333333334,0.9981750001665146
9,0.009755527298894291,676.4724123477936,0.5003957142857143,0.5005542109321454,0.5339595643990781,0.5167175436438787,0.5006688260943117,0.5339595643990781,0.46680557818346036,0.5005542109321454,0.5002143977261589,186959,163318,186545,163178,350137,349863,0.6929440047666839,0.5001957142857143,0.9992174491698963,0.5004566666666667,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5004566666666667,0,150137,0,149863,149863,150137,0.6928872041429676,0.49954333333333334,0.9981750001665146
