epoch,learning_rate,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance
0,0.0009997557473810372,92.65278387069702,0.611895238095238,0.6452202681525335,0.4947546111736319,0.5600574340372242,0.6580735640812782,0.4947546111736319,0.7287105548475453,0.6452202681525335,0.5912205435269062,51877,76621,28525,52977,104854,105146,0.6465269377983734,0.4993047619047619,0.997222909097826,0.6670111111111111,0.7702361027028952,0.4790900633500199,0.5907383888456443,0.7382462024474328,0.4790900633500199,0.8561555268203505,0.7702361027028952,0.62019735460844,21629,38402,6452,23517,45146,44854,0.5926980186592449,0.5016222222222222,0.9935320958667436
1,0.0009990232305719946,82.15554809570312,0.716352380952381,0.7618832836028034,0.6282735994811833,0.6886577461844031,0.7959514636735964,0.6282735994811833,0.8041865596408803,0.7618832836028034,0.6844836239415869,65877,84557,20589,38977,104854,105146,0.5347426509741018,0.4993047619047619,0.997222909097826,0.7661666666666667,0.9391101555952338,0.5708589908297523,0.7100800396754329,0.8979607330523387,0.5708589908297523,0.9627457974762563,0.9391101555952338,0.6902984478155921,25772,43183,1671,19374,45146,44854,0.4467239278283986,0.5016222222222222,0.9935320958667436
2,0.0009978031724785247,94.1943712234497,0.7797238095238095,0.8087444938563029,0.7319224826902169,0.7684182069407454,0.8674249162385047,0.7319224826902169,0.8273923877275408,0.8087444938563029,0.7557990026584192,76745,86997,18149,28109,104854,105146,0.4463082188955904,0.4993047619047619,0.997222909097826,0.8503,0.848031997890249,0.8547379612811766,0.8513717746472659,0.9345368373270244,0.8547379612811766,0.8458331475453694,0.848031997890249,0.8526192777041148,38588,37939,6915,6558,45146,44854,0.36070384686304763,0.5016222222222222,0.9935320958667436
3,0.0009960967771506667,91.5846197605133,0.8036428571428571,0.8257734809458948,0.7689835390161558,0.7963673535904235,0.8927561778676361,0.7689835390161558,0.8382059231925133,0.8257734809458948,0.7844104061162188,80631,88134,17012,24223,104854,105146,0.40653736444687,0.4993047619047619,0.997222909097826,0.8362444444444445,0.9442756121792999,0.7157887741992646,0.8143080334643685,0.9464809089812622,0.7157887741992646,0.957484282338253,0.9442756121792999,0.7699630678762236,32315,42947,1907,12831,45146,44854,0.3671653159809383,0.5016222222222222,0.9935320958667436
4,0.0009939057285945933,73.02176976203918,0.8200904761904761,0.8386054541966621,0.7921300093463292,0.8147054640333109,0.907318216090258,0.7921300093463292,0.8479732942765298,0.8386054541966621,0.8035635426336328,83058,89161,15985,21796,104854,105146,0.3806007104073895,0.4993047619047619,0.997222909097826,0.8497222222222223,0.7975198057996651,0.9387542639436495,0.86239278846643,0.9482029394537567,0.9387542639436495,0.7601105809961207,0.7975198057996651,0.9249844000108521,42381,34094,10760,2765,45146,44854,0.34335518696091394,0.5016222222222222,0.9935320958667436
5,0.0009912321891107012,94.14482641220093,0.8336285714285714,0.8475779510022272,0.8129971198046808,0.8299274692109234,0.9187246705700751,0.8129971198046808,0.8542027276358587,0.8475779510022272,0.8208071355461325,85246,89816,15330,19608,104854,105146,0.3584271813135925,0.4993047619047619,0.997222909097826,0.882,0.8591818900586742,0.9146768262969034,0.8860612822933653,0.9578712012259385,0.9146768262969034,0.8491104472287867,0.8591818900586742,0.9081501263770327,41294,38086,6768,3852,45146,44854,0.2692691549997438,0.5016222222222222,0.9935320958667436
6,0.0009880787971596802,92.45655179023743,0.8423666666666667,0.8515241482700844,0.8288095828485322,0.8400133390684884,0.9260043749396151,0.8288095828485322,0.8558861012306698,0.8515241482700844,0.8337085313545112,86904,89993,15153,17950,104854,105146,0.3434694316986853,0.4993047619047619,0.997222909097826,0.8894666666666666,0.8738581807367124,0.9111770699508263,0.8921275211450879,0.9614241233168458,0.9111770699508263,0.8676149284344763,0.8738581807367124,0.9065834226343009,41136,38916,5938,4010,45146,44854,0.2578084182248197,0.5016222222222222,0.9935320958667436
7,0.0009844486647586726,89.57356309890747,0.8491333333333333,0.8558326363088176,0.8392145268659279,0.8474421202665742,0.9315136119858642,0.8392145268659279,0.8590245943735377,0.8558326363088176,0.8427067977832099,87995,90323,14823,16859,104854,105146,0.33163580479923904,0.4993047619047619,0.997222909097826,0.8847444444444444,0.859173260065693,0.9212333318566429,0.8891216743450236,0.9599614568090931,0.9212333318566429,0.848018014000981,0.859173260065693,0.9145048445651912,41590,38037,6817,3556,45146,44854,0.26980071260847827,0.5016222222222222,0.9935320958667436
8,0.000980345374410087,69.62177419662476,0.8548095238095238,0.8592602612661359,0.8481316878707537,0.8536597072234221,0.9353044608571327,0.8481316878707537,0.8614688147908622,0.8592602612661359,0.8504844888454893,88930,90580,14566,15924,104854,105146,0.3230754325617826,0.4993047619047619,0.997222909097826,0.8944666666666666,0.8733243967828418,0.9235812696584415,0.8977500269135537,0.9645961046076869,0.9235812696584415,0.8651625273108307,0.8733243967828418,0.9183547898523287,41696,38806,6048,3450,45146,44854,0.2616099658506838,0.5016222222222222,0.9935320958667436
9,0.0009757729755661012,93.64918541908264,0.8583761904761905,0.8627560827191856,0.8518702195433651,0.8572785949084627,0.937975759219164,0.8518702195433651,0.8648640937363286,0.8627560827191856,0.8541171608637256,89322,90937,14209,15532,104854,105146,0.31679474944464325,0.4993047619047619,0.997222909097826,0.8989666666666667,0.9101872710310146,0.8860142648296637,0.8979381096157947,0.9655096184212475,0.8860142648296637,0.9120033887724618,0.9101872710310146,0.8882591796408486,40000,40907,3947,5146,45146,44854,0.24032059527764266,0.5016222222222222,0.9935320958667436
