epoch,learning_rate,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,accuracy_val,precision_val,recall_val,f1_val,auc_val,sensitivity_val,specificity_val,precision_neutrino_val,precision_muon_val,true_positives_val,true_negatives_val,false_positives_val,false_negatives_val,total_neutrinos_val,total_muons_val,loss_val,positive_class_ratio_val,class_balance_val
0,0.0009997557473810372,14.300049304962158,0.5533571428571429,0.5824654701233474,0.3756669207317073,0.4567490081376155,0.5714048096823306,0.3756669207317073,0.7309120335110434,0.5824654701233474,0.5395102069498612,7886,15355,5653,13106,20992,21008,0.6815676069549514,0.4998095238095238,0.9992383853769993,0.5278333333333334,0.7908571428571428,0.07682060390763766,0.1400384498634018,0.5929548141865199,0.07682060390763766,0.9796485765124555,0.7908571428571428,0.5143941605839416,692,8809,183,8316,9008,8992,0.7030660856700113,0.5004444444444445,0.9982238010657193
1,0.0009990232305719946,14.14158821105957,0.5032619047619048,0.5036570845381868,0.4231612042682927,0.45991353646224337,0.5059817877161777,0.4231612042682927,0.5833015993907082,0.5036570845381868,0.5029758239954029,8883,12254,8754,12109,20992,21008,0.6954383031213175,0.4998095238095238,0.9992383853769993,0.49955555555555553,0.0,0.0,0.0,0.4635696440550273,0.0,1.0,0.0,0.49955555555555553,0,8992,0,9008,9008,8992,0.6935143792037423,0.5004444444444445,0.9982238010657193
2,0.0009978031724785247,13.889520406723022,0.5016428571428572,0.5016241546408222,0.4487423780487805,0.47371200120690954,0.5026963495976562,0.4487423780487805,0.554503046458492,0.5016241546408222,0.5016579819990525,9420,11649,9359,11572,20992,21008,0.6940027007940692,0.4998095238095238,0.9992383853769993,0.49955555555555553,0.0,0.0,0.0,0.5261863848880078,0.0,1.0,0.0,0.49955555555555553,0,8992,0,9008,9008,8992,0.6934011789923864,0.5004444444444445,0.9982238010657193
3,0.0009960967771506667,13.897455215454102,0.49876190476190474,0.49830220713073003,0.4194455030487805,0.4554860069318711,0.49686651995341785,0.4194455030487805,0.5780178979436406,0.49830220713073003,0.49909576654336213,8805,12143,8865,12187,20992,21008,0.6940879073548825,0.4998095238095238,0.9992383853769993,0.5004444444444445,0.5004444444444445,1.0,0.6670616113744076,0.5245054329425644,1.0,0.0,0.5004444444444445,0.0,9008,0,8992,0,9008,8992,0.6934144332053813,0.5004444444444445,0.9982238010657193
4,0.0009939057285945933,13.893774032592773,0.4972142857142857,0.49671588460932165,0.4503144054878049,0.4723783824301027,0.4984569907057764,0.4503144054878049,0.5440784463061691,0.49671588460932165,0.49762723671034875,9453,11430,9578,11539,20992,21008,0.6938062089192468,0.4998095238095238,0.9992383853769993,0.5004444444444445,0.5004444444444445,1.0,0.6670616113744076,0.5251086988513176,1.0,0.0,0.5004444444444445,0.0,9008,0,8992,0,9008,8992,0.6934425200976378,0.5004444444444445,0.9982238010657193
5,0.0009912321891107012,14.091264247894287,0.5043809523809524,0.504419445560466,0.47846798780487804,0.49110111480539803,0.5043801480279579,0.47846798780487804,0.5302741812642803,0.504419445560466,0.5043462513582035,10044,11140,9868,10948,20992,21008,0.6934746290050379,0.4998095238095238,0.9992383853769993,0.5004444444444445,0.5004444444444445,1.0,0.6670616113744076,0.4575556022661548,1.0,0.0,0.5004444444444445,0.0,9008,0,8992,0,9008,8992,0.6934112103272837,0.5004444444444445,0.9982238010657193
6,0.0009880787971596802,13.94807481765747,0.5024047619047619,0.502516369933438,0.44235899390243905,0.4705226622076968,0.5013043448604945,0.44235899390243905,0.5624047981721249,0.502516369933438,0.5023170783555121,9286,11815,9193,11706,20992,21008,0.6936706009244484,0.4998095238095238,0.9992383853769993,0.5004444444444445,0.5004444444444445,1.0,0.6670616113744076,0.4802313485778557,1.0,0.0,0.5004444444444445,0.0,9008,0,8992,0,9008,8992,0.6934892552118774,0.5004444444444445,0.9982238010657193
7,0.0009844486647586726,13.958550691604614,0.5036666666666667,0.5035204475308642,0.4973799542682927,0.5004313650306749,0.5018476068440971,0.4973799542682927,0.5099485910129474,0.5035204475308642,0.5038092550790068,10441,10713,10295,10551,20992,21008,0.6935784291351458,0.4998095238095238,0.9992383853769993,0.49955555555555553,0.0,0.0,0.0,0.5408874397135327,0.0,1.0,0.0,0.49955555555555553,0,8992,0,9008,9008,8992,0.693590410212253,0.5004444444444445,0.9982238010657193
8,0.000980345374410087,13.98266887664795,0.4990476190476191,0.49867928681488005,0.43168826219512196,0.46277193340823203,0.49879397261409125,0.43168826219512196,0.5663556740289414,0.49867928681488005,0.4993285210676515,9062,11898,9110,11930,20992,21008,0.6935569995442422,0.4998095238095238,0.9992383853769993,0.49955555555555553,0.0,0.0,0.0,0.5359405901258983,0.0,1.0,0.0,0.49955555555555553,0,8992,0,9008,9008,8992,0.6934450218018066,0.5004444444444445,0.9982238010657193
9,0.0009757729755661012,13.718713521957397,0.5039047619047619,0.5041967071989669,0.4464081554878049,0.4735459093435747,0.5035184030049382,0.4464081554878049,0.5613575780654989,0.5041967071989669,0.5036730161441872,9371,11793,9215,11621,20992,21008,0.6935119980374368,0.4998095238095238,0.9992383853769993,0.5004444444444445,0.5004444444444445,1.0,0.6670616113744076,0.45690985484235447,1.0,0.0,0.5004444444444445,0.0,9008,0,8992,0,9008,8992,0.6936089003339727,0.5004444444444445,0.9982238010657193
10,0.0009707359806323418,13.963995933532715,0.5036190476190476,0.50401024841261,0.4310689786585366,0.46469470548965236,0.5012687235401323,0.4310689786585366,0.5761138613861386,0.50401024841261,0.5033269566663894,9049,12103,8905,11943,20992,21008,0.6935633531457385,0.4998095238095238,0.9992383853769993,0.5004444444444445,0.5004444444444445,1.0,0.6670616113744076,0.5386075305047154,1.0,0.0,0.5004444444444445,0.0,9008,0,8992,0,9008,8992,0.6934246141859826,0.5004444444444445,0.9982238010657193
