epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance
0,0.0009997535269026829,0.001999506807085549,0.00399901336745128,328.548015832901,0.6748395833333334,0.7133439556915308,0.5841281221862807,0.6423017071667083,0.7490117180175476,0.5841281221862807,0.7654724619331623,0.7133439556915308,0.6481649321657926,140130,183793,56311,99766,239896,240104,0.5737975943190202,0.49978333333333336,0.9991337087262188,0.5737975943190202,0.6389147878360393,1.2127123821550594,0.633784601619757,0.0,0.9823998301227949,255.97441364605544,256.0,251.36034115138594,0.766675,0.7223738346239628,0.8675961666444829,0.7883529491802164,0.8822951426122951,0.8675961666444829,0.6654033658341124,0.7223738346239628,0.8335599104845962,52146,39855,20041,7958,60104,59896,0.49581593959889514,0.5008666666666667,0.9965393318248369
1,0.0009990143508499217,0.0019980277150640578,0.003996054443492329,324.8067569732666,0.7747208333333333,0.8005849180567215,0.7314377897088739,0.7644508922347693,0.8650403637721628,0.7314377897088739,0.8179663812347983,0.8005849180567215,0.7529866883415637,175469,196397,43707,64427,239896,240104,0.44724464689744814,0.49978333333333336,0.9991337087262188,0.44724464689744814,0.5590478457303952,1.0062924926278434,0.7317382387006715,0.004995837495788003,0.9826325498457366,255.97441364605544,256.0,251.4221748400853,0.8367583333333334,0.8506638508542644,0.8176161320378011,0.8338126627811289,0.922432499452754,0.8176161320378011,0.855967009483104,0.8506638508542644,0.8238498497533384,49142,51269,8627,10962,60104,59896,0.37766335771438925,0.5008666666666667,0.9965393318248369
2,0.0009977832013192385,0.0019955641836207788,0.003991126148223859,325.3808288574219,0.81909375,0.8331773320737138,0.7977623636909328,0.815085339494671,0.9067208455050809,0.7977623636909328,0.8404066571152501,0.8331773320737138,0.8061693720760205,191380,201785,38319,48516,239896,240104,0.3812428974012322,0.49978333333333336,0.9991337087262188,0.3812428974012322,0.6613623593916008,1.042605256792833,0.6193471745705046,0.00996679946249559,0.9828741751201551,255.97441364605544,256.0,251.48933901918977,0.8695166666666667,0.8237899583296908,0.9407027818448024,0.8783731299227889,0.9578692878650604,0.9407027818448024,0.7980833444637372,0.8237899583296908,0.9306155822917883,56540,47802,12094,3564,60104,59896,0.336648506179769,0.5008666666666667,0.9965393318248369
3,0.0009960612933065818,0.0019921186439638213,0.003984233345278299,326.06076860427856,0.8474416666666666,0.855032762161195,0.8365916897322173,0.8457117092061405,0.9297785376125809,0.8365916897322173,0.858282244360777,0.855032762161195,0.8401772682425656,200695,206077,34027,39201,239896,240104,0.33484015915630216,0.49978333333333336,0.9991337087262188,0.33484015915630216,0.6786291649473756,1.0134693241036776,0.5892433141594502,0.014888503362331808,0.983180394801833,255.97441364605544,256.0,251.56503198294243,0.882175,0.8407995610718152,0.9433814721150007,0.8891415309586721,0.9638190311574002,0.9433814721150007,0.8207559770268466,0.8407995610718152,0.9352586420105398,56701,49160,10736,3403,60104,59896,0.3246935616782371,0.5008666666666667,0.9965393318248369
4,0.0009938503261272714,0.001987694496424841,0.003975382837019978,326.7085266113281,0.8599145833333334,0.8666941351876001,0.8505268949878281,0.8585344096676534,0.9390676068655422,0.8505268949878281,0.8692941392063439,0.8666941351876001,0.8533888845730827,204038,208721,31383,35858,239896,240104,0.31317279546626847,0.49978333333333336,0.9991337087262188,0.31317279546626847,0.6894208877198478,1.0025936831861162,0.5733149358903421,0.0197375320224904,0.9833214735322715,255.97441364605544,256.0,251.6087420042644,0.8684833333333334,0.8075268518775499,0.9681884733129242,0.8805895616119123,0.9702355600188379,0.9681884733129242,0.7684319487110992,0.8075268518775499,0.9601151487337811,58192,46026,13870,1912,60104,59896,0.3607356327645322,0.5008666666666667,0.9965393318248369
5,0.00099115248173898,0.001982296107103325,0.003964583357832013,324.416277885437,0.8683,0.8731740493228458,0.86163587554607,0.8673665923939726,0.9447095527426826,0.86163587554607,0.8749583513810683,0.8731740493228458,0.8635571413303518,206703,210081,30023,33193,239896,240104,0.2991677005090185,0.49978333333333336,0.9991337087262188,0.2991677005090185,0.6941520949797844,0.9933197954888029,0.5625468586712504,0.02449186624037092,0.9822939710241044,255.97441364605544,256.0,251.33368869936035,0.8707916666666666,0.816282533153677,0.9575402635431918,0.8812868944712845,0.9632947673600566,0.9575402635431918,0.7837418191531988,0.816282533153677,0.9484392362864936,57552,46943,12953,2552,60104,59896,0.34407585193502144,0.5008666666666667,0.9965393318248369
6,0.0009879704225884043,0.0019759288035577785,0.003951845565496525,326.0180253982544,0.87326875,0.8791227869595227,0.8654208490345816,0.8722180093392963,0.9484399209518435,0.8654208490345816,0.8811098523972946,0.8791227869595227,0.8675992339333095,207611,211558,28546,32285,239896,240104,0.28912620149505164,0.49978333333333336,0.9991337087262188,0.28912620149505164,0.6878958245965717,0.9770220260916234,0.5733845131769617,0.02913126124515908,0.9825764632744689,255.97441364605544,256.0,251.41684434968016,0.8660833333333333,0.8050882687137988,0.9666577931585252,0.8785060860361382,0.9689388044561413,0.9666577931585252,0.7651596099906505,0.8050882687137988,0.9581051135175817,58100,45830,14066,2004,60104,59896,0.360524117692988,0.5008666666666667,0.9965393318248369
7,0.0009843072889837512,0.001968598869548067,0.003937182030676697,326.341356754303,0.87626875,0.8806885526643242,0.8703396471804449,0.8754835179349775,0.950687710913859,0.8703396471804449,0.8821927164895212,0.8806885526643242,0.8719553109421504,208791,211818,28286,31105,239896,240104,0.28305426997734284,0.49978333333333336,0.9991337087262188,0.28305426997734284,0.6938681425824602,0.976922412559803,0.5619352505182915,0.033637554433633234,0.9819784457536486,255.97441364605544,256.0,251.2494669509595,0.8833083333333334,0.8363023591718826,0.953696925329429,0.8911500641299701,0.9677898491986137,0.953696925329429,0.8126753038600241,0.8363023591718826,0.9459181095629531,57321,48676,11220,2783,60104,59896,0.3222410222951402,0.5008666666666667,0.9965393318248369
8,0.000980166695995633,0.001960313538834105,0.003920607224511047,327.16153049468994,0.8806291666666667,0.8846435793731041,0.8752917931103478,0.8799428399014365,0.9535059660784814,0.8752917931103478,0.8859619165028487,0.8846435793731041,0.8767021101219914,209979,212723,27381,29917,239896,240104,0.27503416167774686,0.49978333333333336,0.9991337087262188,0.27503416167774686,0.6934208306295278,0.9684549923072746,0.5628505554884228,0.037994896225522504,0.9827426138210726,255.97441364605544,256.0,251.45095948827293,0.9014166666666666,0.8718533353874596,0.9415679488885931,0.9053705984929687,0.9714519924235416,0.9415679488885931,0.8611259516495259,0.8718533353874596,0.9362497730985659,56592,51578,8318,3512,60104,59896,0.25976561859567115,0.5008666666666667,0.9965393318248369
9,0.0009755527298894294,0.0019510809880370062,0.0039021375043321593,326.7920491695404,0.88188125,0.885320309772298,0.8773009970987428,0.8812924108965514,0.9542585943621693,0.8773009970987428,0.8864575350681372,0.885320309772298,0.8785068330877467,210461,212842,27262,29435,239896,240104,0.272826147660899,0.49978333333333336,0.9991337087262188,0.272826147660899,0.6993726994564284,0.9721988471173274,0.5368544700970528,0.04218990052500078,0.9830543026785649,255.97441364605544,256.0,251.5330490405117,0.8891,0.8618396634912779,0.9272261413549847,0.8933380353936907,0.9645267000891078,0.9272261413549847,0.8508414585281154,0.8618396634912779,0.9209556165967905,55730,50962,8934,4374,60104,59896,0.2743713548208805,0.5008666666666667,0.9965393318248369
10,0.0009704699440926358,0.0019409103285697486,0.0038817910975239736,326.5364103317261,0.8843020833333334,0.8867848526172244,0.8809775902891253,0.8838716827575536,0.9558543242364648,0.8809775902891253,0.8876236963982275,0.8867848526172244,0.8818537291817523,211343,213122,26982,28553,239896,240104,0.2682392534130672,0.49978333333333336,0.9991337087262188,0.2682392534130672,0.697264213933111,0.9655034673461782,0.5514642568920721,0.04621171572600098,0.9818484141215961,255.97441364605544,256.0,251.2089552238806,0.87705,0.8254722397657461,0.9568248369492879,0.8863082945473599,0.9674648233609804,0.9568248369492879,0.7969981300921597,0.8254722397657461,0.948442342843519,57509,47737,12159,2595,60104,59896,0.31399394197666897,0.5008666666666667,0.9965393318248369
11,0.0009649233547011817,0.0019298115976453074,0.0038595880835335583,325.2162811756134,0.8854583333333333,0.8885900173158717,0.8813152366025278,0.8849376763186754,0.9569154027864063,0.8813152366025278,0.8895978409355946,0.8885900173158717,0.8823801576416545,211424,213596,26508,28472,239896,240104,0.26508672529065025,0.49978333333333336,0.9991337087262188,0.26508672529065025,0.7022174138631394,0.9673041391537897,0.5331469207430191,0.05005202111902354,0.9824534770438205,255.97441364605544,256.0,251.3720682302772,0.8819416666666666,0.8343060912597337,0.953696925329429,0.890015449231032,0.9681686813090158,0.953696925329429,0.8099372245225057,0.8343060912597337,0.9457451993371674,57321,48512,11384,2783,60104,59896,0.29430634493523455,0.5008666666666667,0.9965393318248369
12,0.0009589184355291487,0.001917795748371139,0.0038355503740551194,326.85747933387756,0.8877416666666667,0.8908209231182976,0.88369126621536,0.8872417718552248,0.9579419046197855,0.88369126621536,0.891788558291407,0.8908209231182976,0.8847139126698179,211994,214122,25982,27902,239896,240104,0.2619722245026753,0.49978333333333336,0.9991337087262188,0.2619722245026753,0.6938921715786208,0.9558643960812961,0.5540026339100622,0.05370495669980351,0.9826896971095452,255.97441364605544,256.0,251.44243070362472,0.8955416666666667,0.8559434908187545,0.9516005590310129,0.901240890289541,0.9713100293581327,0.9516005590310129,0.8392880993722452,0.8559434908187545,0.9452979559600594,57195,50270,9626,2909,60104,59896,0.27486320962297156,0.5008666666666667,0.9965393318248369
13,0.000952461112706777,0.0019048746389397867,0.003809701691405806,325.5060260295868,0.89005625,0.8921516440681518,0.8872761529996331,0.8897072193044238,0.9591413767200196,0.8872761529996331,0.8928339386265951,0.8921516440681518,0.887985419298718,212854,214373,25731,27042,239896,240104,0.25827547064277406,0.49978333333333336,0.9991337087262188,0.25827547064277406,0.6949993609619547,0.9532748316047288,0.542193343437938,0.057166996608511725,0.9829755116317219,255.97441364605544,256.0,251.51599147121536,0.8884833333333333,0.851008203864531,0.9423332889657926,0.8943454025801766,0.9682289837124133,0.9423332889657926,0.8344463737144383,0.851008203864531,0.9351494966882461,56638,49980,9916,3466,60104,59896,0.28771130632846914,0.5008666666666667,0.9965393318248369
14,0.00094555775883209,0.0018910610209262738,0.0037820675451146414,325.89173889160156,0.8913229166666666,0.8944342893161046,0.8872719845266283,0.89083874099914,0.9605050965420681,0.8872719845266283,0.8953703395195415,0.8944342893161046,0.8882636091312881,212853,214982,25122,27043,239896,240104,0.2541070380317631,0.49978333333333336,0.9991337087262188,0.2541070380317631,0.7004875661467692,0.9545946041785324,0.5268986557941955,0.060436777711716363,0.982837132954634,255.97441364605544,256.0,251.47547974413646,0.8672083333333334,0.8043073870447687,0.9711666444828964,0.8798962894849899,0.9706690772935389,0.9711666444828964,0.7628890076131962,0.8043073870447687,0.9634596326986737,58371,45694,14202,1733,60104,59896,0.31674670659481213,0.5008666666666667,0.9965393318248369
15,0.0009382151866819101,0.0018763685267038418,0.003752675206747705,326.0893177986145,0.8917166666666667,0.8942035795497454,0.8884558308600393,0.8913204391008887,0.9607290259851587,0.8884558308600393,0.8949746776396895,0.8942035795497454,0.8892636335796992,213137,214887,25217,26759,239896,240104,0.2531941108294387,0.49978333333333336,0.9991337087262188,0.2531941108294387,0.700251539950686,0.9534456507801247,0.5316573388254973,0.06351489523872873,0.9826160401906918,255.97441364605544,256.0,251.42004264392324,0.90885,0.8883447600391773,0.935611606548649,0.9113657358637344,0.9733110453700742,0.935611606548649,0.8819954587952451,0.8883447600391773,0.9317436241137254,56234,52828,7068,3870,60104,59896,0.22915752308165774,0.5008666666666667,0.9965393318248369
