epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,domain_auc,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance,val_domain_loss,val_domain_accuracy,val_domain_auc
0,0.0009997535269026829,0.001999506807085549,0.00399901336745128,195.39251446723938,0.6619686274509804,0.700466692890825,0.5657390519895668,0.625935183738652,0.7305738225515108,0.5657390519895668,0.7581642455252995,0.700466692890825,0.6358987513277625,144238,193366,61679,110717,254955,255045,0.590443177920287,0.49991176470588233,0.9996471210962772,0.590443177920287,0.7055257797360779,1.2959689576563649,0.5052902811508599,1.0,0.9829426869713047,255.8124373119358,255.76730190571715,251.31293881644936,0.5073385495877266,0.7562666666666666,0.8406497833072909,0.633011433011433,0.7222025226685578,0.8482344921851095,0.633011433011433,0.8797686575464353,0.8406497833072909,0.7052299352721956,28514,39550,5405,16531,45045,44955,0.5092973976650021,0.5005,0.9980019980019982,0.6868319464000788,0.5154947867109017,0.5631865859927367
1,0.0009990143508499217,0.0019980277150640578,0.003996054443492329,194.0888283252716,0.7691823529411764,0.7953819531135657,0.7247239708968249,0.7584107901104337,0.8589470903555225,0.7247239708968249,0.8136250465604109,0.7953819531135657,0.7472649751164951,184772,207511,47534,70183,254955,255045,0.4559574565115042,0.49991176470588233,0.9996471210962772,0.4559574565115042,0.7050933940121259,1.16105085052363,0.5098780805512202,1.0,0.9830107274210841,255.8124373119358,255.76730190571715,251.34603811434303,0.5129147749989856,0.7789555555555555,0.7101555841508047,0.9433899433899434,0.810323786278174,0.9140749933342527,0.9433899433899434,0.6141919697475253,0.7101555841508047,0.9154537316401976,42495,27611,17344,2550,45045,44955,0.6496696756644682,0.5005,0.9980019980019982,0.6890624880113385,0.5830693590370092,0.6352780444711541
2,0.0009977832013192385,0.0019955641836207788,0.003991126148223859,192.85780096054077,0.8239352941176471,0.8375088892340137,0.8037496813163107,0.8202820870518961,0.9103301018288115,0.8037496813163107,0.844113783842067,0.8375088892340137,0.8114178243794333,204920,215287,39758,50035,254955,255045,0.3746479653427331,0.49991176470588233,0.9996471210962772,0.3746479653427331,0.7045163905010778,1.0791643558438109,0.5136321239629266,1.0,0.9832447912101983,255.8124373119358,255.76730190571715,251.42226680040122,0.5191849212087041,0.8483666666666667,0.8007125617745087,0.928005328005328,0.8596723941141994,0.9439963143666847,0.928005328005328,0.7685685685685686,0.8007125617745087,0.9141927290046039,41802,34551,10404,3243,45045,44955,0.3765209495005282,0.5005,0.9980019980019982,0.6891421442004767,0.625691603530537,0.6451632307181242
3,0.0009960612933065818,0.0019921186439638213,0.003984233345278299,196.63155364990234,0.8487019607843137,0.8575151517588909,0.836312290404189,0.84678101531753,0.9305584157920921,0.836312290404189,0.8610872591111373,0.8575151517588909,0.8403169707938427,213222,219616,35429,41733,254955,255045,0.3330660583442049,0.49991176470588233,0.9996471210962772,0.3330660583442049,0.7057185577174486,1.0387846160616536,0.5039466974010678,1.0,0.9820199769024064,255.8124373119358,255.76730190571715,251.07321965897694,0.5082094482102218,0.8659333333333333,0.8123307131357136,0.9520923520923521,0.876676206050695,0.960962346888273,0.9520923520923521,0.7796018240462685,0.8123307131357136,0.941997043408144,42887,35047,9908,2158,45045,44955,0.3591576926410198,0.5005,0.9980019980019982,0.693986447697336,0.44649263759228314,0.4335907769170768
4,0.0009938503261272714,0.001987694496424841,0.003975382837019978,191.79439043998718,0.8624901960784314,0.8674789344552385,0.8556451138436194,0.8615213888537849,0.9408128442544561,0.8556451138436194,0.8693328628281284,0.8674789344552385,0.8576374249099693,218151,221719,33326,36804,254955,255045,0.30874742791729204,0.49991176470588233,0.9996471210962772,0.30874742791729204,0.7053634901582417,1.0141109180755339,0.5062456683684495,1.0,0.9825287726059222,255.8124373119358,255.76730190571715,251.20762286860582,0.5097273398144281,0.8607333333333334,0.8037105543411244,0.9549783549783549,0.8728390552714878,0.9590309197716606,0.9549783549783549,0.7662996329662997,0.8037105543411244,0.9444033226416646,43017,34449,10506,2028,45045,44955,0.40199606103653257,0.5005,0.9980019980019982,0.6900477805598215,0.4570816367525946,0.49871055336670134
5,0.00099115248173898,0.001982296107103325,0.003964583357832013,193.0162091255188,0.8706470588235294,0.8746119782271716,0.865301719911357,0.869931939526337,0.9466687729719994,0.865301719911357,0.8759905114783666,0.8746119782271716,0.866767018804387,220613,223417,31628,34342,254955,255045,0.2939524549239856,0.49991176470588233,0.9996471210962772,0.2939524549239856,0.7052535277790387,0.9992059827030243,0.5067051376179683,1.0,0.9826007491735615,255.8124373119358,255.76730190571715,251.24774322968906,0.5103789953488054,0.8795888888888889,0.8434814041288456,0.9324453324453325,0.8857350723843064,0.9613322060235641,0.9324453324453325,0.8266266266266267,0.8434814041288456,0.9243110138294697,42002,37161,7794,3043,45045,44955,0.30555347725749016,0.5005,0.9980019980019982,0.6935661905868487,0.5185087748210538,0.4158971037286666
6,0.0009879704225884043,0.0019759288035577785,0.003951845565496525,192.41254711151123,0.8745607843137255,0.8781008342803293,0.8698280088643094,0.8739448442192044,0.9491119549550436,0.8698280088643094,0.8792918896665295,0.8781008342803293,0.871088029769234,221767,224259,30786,33188,254955,255045,0.28725014520863235,0.49991176470588233,0.9996471210962772,0.28725014520863235,0.7053106995140658,0.992560844722698,0.5064321782667873,1.0,0.9822050604260133,255.8124373119358,255.76730190571715,251.12738214643932,0.5112344559808133,0.8778333333333334,0.8282497204334246,0.9536685536685536,0.8865453870045712,0.9660612670489214,0.9536685536685536,0.8018462907351797,0.8282497204334246,0.9452719358053181,42958,36047,8908,2087,45045,44955,0.31980289484966884,0.5005,0.9980019980019982,0.70751698857004,0.3276908135210926,0.2886568798801262
7,0.0009843072889837512,0.001968598869548067,0.003937182030676697,196.82592725753784,0.8784156862745098,0.8809312279621097,0.8750642270204546,0.8779879262984739,0.9519932402581517,0.8750642270204546,0.8817659628692975,0.8809312279621097,0.8759343000588137,223102,224890,30155,31853,254955,255045,0.27939805753133,0.49991176470588233,0.9996471210962772,0.27939805753133,0.7051897246835225,0.9845877822148524,0.5035569758986758,1.0,0.9828658611435582,255.8124373119358,255.76730190571715,251.2878635907723,0.5071468786069859,0.8958444444444444,0.8628567940919171,0.9415473415473415,0.9004862098982993,0.9687437289906424,0.9415473415473415,0.8500500500500501,0.8628567940919171,0.9355399417337871,42412,38214,6741,2633,45045,44955,0.25431769908490504,0.5005,0.9980019980019982,0.6918099498884245,0.5607934241945093,0.5670689983481174
8,0.000980166695995633,0.001960313538834105,0.003920607224511047,192.11528158187866,0.8813705882352941,0.8838018995286706,0.8781549685238571,0.8809693850448866,0.953614629751167,0.8781549685238571,0.8845850732223726,0.8838018995286706,0.8789709904392342,223890,225609,29436,31065,254955,255045,0.27475317681923794,0.49991176470588233,0.9996471210962772,0.27475317681923794,0.7050357446029648,0.9797889214222028,0.504142571027683,1.0,0.9829353529280777,255.8124373119358,255.76730190571715,251.33099297893682,0.5080200016150869,0.8857555555555555,0.8395686404751206,0.954045954045954,0.8931540443927176,0.9692615341998058,0.954045954045954,0.8173284395506618,0.8395686404751206,0.9466673537216912,42975,36743,8212,2070,45045,44955,0.28796683268790896,0.5005,0.9980019980019982,0.6929942498152907,0.42040192742239346,0.39418768838677676
9,0.0009755527298894294,0.0019510809880370062,0.0039021375043321593,193.48427844047546,0.8836960784313725,0.8869553865993655,0.8794375478025533,0.8831804690900426,0.9555183436205252,0.8794375478025533,0.8879531063145719,0.8869553865993655,0.8804926790199296,224217,226468,28577,30738,254955,255045,0.2690506003415931,0.49991176470588233,0.9996471210962772,0.2690506003415931,0.7054504633188965,0.9745010636604896,0.5033214294025627,1.0,0.9822317121002063,255.8124373119358,255.76730190571715,251.123370110331,0.5085393472196437,0.8869333333333334,0.8435572546160364,0.9503385503385503,0.8937698346417238,0.9683000618803088,0.9503385503385503,0.8234011789567345,0.8435572546160364,0.943010725294882,42808,37016,7939,2237,45045,44955,0.2907139537855983,0.5005,0.9980019980019982,0.6994593160396273,0.3683610428124666,0.34763585132928365
