epoch,loss_E,nSigmaMAE,nSigmaMAE_weighted,nlogE_MAE,nlogE_MAE_weighted,val_loss_E,val_nSigmaMAE,val_nSigmaMAE_weighted,val_nlogE_MAE,val_nlogE_MAE_weighted
0,-2.783604383468628,0.08676980435848236,0.08676980435848236,0.12862789630889893,0.12862789630889893,-3.086418867111206,0.07543645799160004,0.07543645799160004,0.11234588921070099,0.11234588921070099
1,-3.131800413131714,0.07100068032741547,0.07100068032741547,0.11105861514806747,0.11105861514806747,-3.186022996902466,0.07115697115659714,0.07115697115659714,0.10851568728685379,0.10851568728685379
2,-3.227267265319824,0.06777434796094894,0.06777434796094894,0.10730688273906708,0.10730688273906708,-3.2661337852478027,0.06930464506149292,0.06930464506149292,0.10513721406459808,0.10513721406459808
3,-3.3023369312286377,0.0657070204615593,0.0657070204615593,0.10383797436952591,0.10383797436952591,-3.3257927894592285,0.06739220768213272,0.06739220768213272,0.10220242291688919,0.10220242291688919
4,-3.353360652923584,0.06445745378732681,0.06445745378732681,0.1012866422533989,0.1012866422533989,-3.3707430362701416,0.06579339504241943,0.06579339504241943,0.1001342311501503,0.1001342311501503
5,-3.3897287845611572,0.063623808324337,0.063623808324337,0.09954129904508591,0.09954129904508591,-3.399341344833374,0.0649288147687912,0.0649288147687912,0.09862886369228363,0.09862886369228363
6,-3.4163053035736084,0.06296787410974503,0.06296787410974503,0.09829319268465042,0.09829319268465042,-3.4119114875793457,0.06486678123474121,0.06486678123474121,0.09768304973840714,0.09768304973840714
7,-3.4389050006866455,0.06238361820578575,0.06238361820578575,0.09728369861841202,0.09728369861841202,-3.4326281547546387,0.0643305703997612,0.0643305703997612,0.0968688502907753,0.0968688502907753
8,-3.4582324028015137,0.06186392903327942,0.06186392903327942,0.0964532271027565,0.0964532271027565,-3.4518868923187256,0.06370668858289719,0.06370668858289719,0.09614097326993942,0.09614097326993942
9,-3.4745657444000244,0.06139371171593666,0.06139371171593666,0.09577541053295135,0.09577541053295135,-3.4668447971343994,0.06293761730194092,0.06293761730194092,0.09555988013744354,0.09555988013744354
10,-3.4891257286071777,0.06096206232905388,0.06096206232905388,0.0951920673251152,0.0951920673251152,-3.482647657394409,0.06203211843967438,0.06203211843967438,0.09497729688882828,0.09497729688882828
11,-3.501917600631714,0.06060038506984711,0.06060038506984711,0.09468148648738861,0.09468148648738861,-3.4923975467681885,0.061723630875349045,0.061723630875349045,0.09452033042907715,0.09452033042907715
12,-3.5134027004241943,0.06026183068752289,0.06026183068752289,0.09422260522842407,0.09422260522842407,-3.502795696258545,0.061760399490594864,0.061760399490594864,0.09408547729253769,0.09408547729253769
13,-3.5230064392089844,0.05997517704963684,0.05997517704963684,0.09385375678539276,0.09385375678539276,-3.5140128135681152,0.06131630390882492,0.06131630390882492,0.09368577599525452,0.09368577599525452
14,-3.531865119934082,0.05972468480467796,0.05972468480467796,0.0935010015964508,0.0935010015964508,-3.520199775695801,0.060973942279815674,0.060973942279815674,0.0933624729514122,0.0933624729514122
15,-3.539796829223633,0.0594991073012352,0.0594991073012352,0.09319677948951721,0.09319677948951721,-3.529303550720215,0.0609353706240654,0.0609353706240654,0.09308279305696487,0.09308279305696487
16,-3.5468862056732178,0.05930297449231148,0.05930297449231148,0.09291834384202957,0.09291834384202957,-3.5375118255615234,0.06072439253330231,0.06072439253330231,0.09277229011058807,0.09277229011058807
17,-3.5534791946411133,0.05912790820002556,0.05912790820002556,0.09267613291740417,0.09267613291740417,-3.5416347980499268,0.060370661318302155,0.060370661318302155,0.09262911975383759,0.09262911975383759
18,-3.559561252593994,0.058955371379852295,0.058955371379852295,0.09245125204324722,0.09245125204324722,-3.5480711460113525,0.06043734401464462,0.06043734401464462,0.09245552867650986,0.09245552867650986
19,-3.5649619102478027,0.05881200358271599,0.05881200358271599,0.09225340187549591,0.09225340187549591,-3.550187587738037,0.06043142452836037,0.06043142452836037,0.09237434715032578,0.09237434715032578
20,-3.570415496826172,0.058664556592702866,0.058664556592702866,0.09204934537410736,0.09204934537410736,-3.559353828430176,0.060193851590156555,0.060193851590156555,0.09211257100105286,0.09211257100105286
21,-3.5750925540924072,0.058540865778923035,0.058540865778923035,0.09187310934066772,0.09187310934066772,-3.5630297660827637,0.06027218699455261,0.06027218699455261,0.09193947166204453,0.09193947166204453
22,-3.579465389251709,0.05841250345110893,0.05841250345110893,0.09172363579273224,0.09172363579273224,-3.566427707672119,0.05993930622935295,0.05993930622935295,0.09196948260068893,0.09196948260068893
23,-3.5842835903167725,0.05829586833715439,0.05829586833715439,0.09154191613197327,0.09154191613197327,-3.5691723823547363,0.059912774711847305,0.059912774711847305,0.09180819243192673,0.09180819243192673
24,-3.588843822479248,0.058180827647447586,0.058180827647447586,0.0913773849606514,0.0913773849606514,-3.574354410171509,0.059552356600761414,0.059552356600761414,0.09169535338878632,0.09169535338878632
25,-3.592754364013672,0.05807851254940033,0.05807851254940033,0.0912422388792038,0.0912422388792038,-3.5786523818969727,0.05943729355931282,0.05943729355931282,0.0915781557559967,0.0915781557559967
26,-3.5974600315093994,0.057961370795965195,0.057961370795965195,0.09106750786304474,0.09106750786304474,-3.5839321613311768,0.05898622050881386,0.05898622050881386,0.09144354611635208,0.09144354611635208
27,-3.6011860370635986,0.057879913598299026,0.057879913598299026,0.0909324437379837,0.0909324437379837,-3.584836721420288,0.059230219572782516,0.059230219572782516,0.09135937690734863,0.09135937690734863
28,-3.6047208309173584,0.05777936428785324,0.05777936428785324,0.0908016711473465,0.0908016711473465,-3.588524580001831,0.05930151790380478,0.05930151790380478,0.09122956544160843,0.09122956544160843
29,-3.608832836151123,0.057694606482982635,0.057694606482982635,0.09065714478492737,0.09065714478492737,-3.5895326137542725,0.05921458080410957,0.05921458080410957,0.09119492024183273,0.09119492024183273
