epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance,val_domain_loss,val_domain_accuracy,val_domain_utilization,val_source_muons_val,val_target_events_val,val_domain_batch_size_val
0,0.0004998768868112501,0.0009997535269026829,0.001999506807085549,286.6364276409149,0.6268928571428571,0.6646911075091869,0.5117577293316885,0.5782840719181677,0.6811808002366637,0.5117577293316885,0.7419698837912336,0.6646911075091869,0.6032443353795895,107442,155853,54200,102505,209947,210053,0.627327741136214,0.4998738095238095,0.9994953654553851,0.627327741136214,0.6819040379628775,1.3092317790990915,0.5829567801792642,0.0,0.9829963416059334,255.8501827040195,255.78562728380024,251.36297198538367,0.7085555555555556,0.6965194935544241,0.7397865701309229,0.7175013462574045,0.8032757145557385,0.7397865701309229,0.6772877361112655,0.6965194935544241,0.7222031225919647,66620,60920,29027,23433,90053,89947,0.561225484717976,0.5002944444444445,0.9988229153942677,0.6940806125375357,0.5134993982078,0.9841973284180756,255.53125,255.6818181818182,251.46875
1,0.0004995076687428538,0.0009990143508499217,0.0019980277150640578,287.1792576313019,0.7069785714285715,0.7419299144537516,0.6345172829333118,0.6840325649103078,0.7887214089459963,0.6345172829333118,0.7794032934545091,0.7419299144537516,0.6808790258184722,133215,163716,46337,76732,209947,210053,0.5369840660353671,0.4998738095238095,0.9994953654553851,0.5369840660353671,0.47752025149916905,1.014504317534536,0.8056508621765839,0.049958374957880025,0.9829862139516882,255.8501827040195,255.78562728380024,251.34470158343484,0.7731055555555556,0.7620447284345048,0.7945987362997347,0.7779813321881133,0.8703417639246933,0.7945987362997347,0.7515870457046928,0.7620447284345048,0.7851684088269454,71556,67603,22344,18497,90053,89947,0.4751341143961657,0.5002944444444445,0.9988229153942677,0.7558602160689506,0.44119915239174257,0.9841973284180756,255.53125,255.6818181818182,251.46875
2,0.0004988927101684685,0.0009977832013192385,0.0019955641836207788,286.8430914878845,0.7430761904761904,0.7742025636202402,0.6861350721848848,0.7275133076775451,0.8309129363159737,0.6861350721848848,0.7999885743121974,0.7742025636202402,0.7183191912283327,144052,168040,42013,65895,209947,210053,0.4903393275990411,0.4998738095238095,0.9994953654553851,0.4903393275990411,0.27549677231461356,0.7658360999136546,0.9087557103689057,0.0996679946249559,0.9829977800082028,255.8501827040195,255.78562728380024,251.3593179049939,0.7939388888888889,0.7570821117216473,0.8659789235228144,0.8078773846337131,0.8994792666836123,0.8659789235228144,0.7218139571080747,0.7570821117216473,0.8432475257812297,77984,64925,25022,12069,90053,89947,0.5554357662966306,0.5002944444444445,0.9988229153942677,0.8912764929912307,0.5001808317716826,0.9841973284180756,255.53125,255.6818181818182,251.46875
3,0.0004980326179779623,0.0009960612933065818,0.0019921186439638213,287.2307822704315,0.7664261904761904,0.7930698361789769,0.720810490266591,0.7552156500692426,0.856264131819636,0.720810490266591,0.8120188714276872,0.7930698361789769,0.7442425670427869,151332,170567,39486,58615,209947,210053,0.45826408023810994,0.4998738095238095,0.9994953654553851,0.45826408023810994,0.15935971565435705,0.617623795892467,0.9477700371109176,0.14888503362331806,0.9833273876199133,255.8501827040195,255.78562728380024,251.44336175395858,0.7883277777777777,0.727799701832851,0.9215795142860316,0.8133063508474493,0.9150845940706945,0.9215795142860316,0.6549190078601843,0.727799701832851,0.8929513415188722,82991,58908,31039,7062,90053,89947,0.5683066238733855,0.5002944444444445,0.9988229153942677,1.4147534248503773,0.49999999593604694,0.9841973284180756,255.53125,255.6818181818182,251.46875
4,0.0004969282409784869,0.0009938503261272714,0.001987694496424841,287.15542221069336,0.7850714285714285,0.8091071105715836,0.7460501936202947,0.7763002686280146,0.8752940750158971,0.7460501936202947,0.8240729720594326,0.8091071105715836,0.7645209018837091,156631,173099,36954,53316,209947,210053,0.43197951675477764,0.4998738095238095,0.9994953654553851,0.43197951675477764,0.10896976743955233,0.54094928419433,0.9657724817327692,0.197375320224904,0.9827547251323188,255.8501827040195,255.78562728380024,251.29719853836784,0.8153444444444444,0.7592989822463603,0.9237338012059565,0.833483627910705,0.9290864823214727,0.9237338012059565,0.7068273538861775,0.7592989822463603,0.9025055007452623,83185,63577,26370,6868,90053,89947,0.5339853803373196,0.5002944444444445,0.9988229153942677,1.6617600799284198,0.49999999593604694,0.9841973284180756,255.53125,255.6818181818182,251.46875
5,0.0004955806690568079,0.00099115248173898,0.001982296107103325,294.3799698352814,0.801354761904762,0.8206183476938672,0.7711851086226524,0.7951341569121442,0.8898700065679104,0.7711851086226524,0.8315091905376262,0.8206183476938672,0.7842882801975752,161908,174661,35392,48039,209947,210053,0.40944465294244375,0.4998738095238095,0.9994953654553851,0.40944465294244375,0.07944680499672963,0.4888914579391734,0.9767777095758668,0.2449186624037092,0.9832533759136595,255.8501827040195,255.78562728380024,251.4202192448234,0.8463611111111111,0.7924814849535952,0.9387138684996613,0.8594216232977333,0.9495126924297721,0.9387138684996613,0.7538995186054009,0.7924814849535952,0.9247374880676394,84534,67811,22136,5519,90053,89947,0.49509540174833755,0.5002944444444445,0.9988229153942677,1.1305547282099724,0.5133529659360647,0.9841973284180756,255.53125,255.6818181818182,251.46875
6,0.0004939912321037176,0.0009879704225884043,0.0019759288035577785,290.16009521484375,0.814197619047619,0.8299927952448616,0.7901470371093657,0.8095799324085258,0.9016959231488402,0.7901470371093657,0.8382360642314083,0.8299927952448616,0.7998564497665037,165889,176074,33979,44058,209947,210053,0.3901367624189328,0.4998738095238095,0.9994953654553851,0.3901367624189328,0.07419165651439877,0.46432841893333154,0.9777529369608638,0.2913126124515908,0.9830347471143114,255.8501827040195,255.78562728380024,251.35566382460414,0.8401777777777778,0.7799808122801407,0.9479417676257316,0.8557980531133145,0.9505040378970175,0.9479417676257316,0.7322867911103205,0.7799808122801407,0.9335553823258451,85365,65867,24080,4688,90053,89947,0.46396823481402616,0.5002944444444445,0.9988229153942677,1.6062735752625898,0.49999999593604694,0.9841973284180756,255.53125,255.6818181818182,251.46875
7,0.0004921614987015935,0.0009843072889837512,0.001968598869548067,288.4307312965393,0.825002380952381,0.8366858473898754,0.8075419034327711,0.821855587145312,0.9109943530154906,0.8075419034327711,0.8424540473118689,0.8366858473898754,0.8141107624927542,169541,176960,33093,40406,209947,210053,0.373057488619773,0.4998738095238095,0.9994953654553851,0.373057488619773,0.07521994152059835,0.44827743014037136,0.9768086464919068,0.3363755443363323,0.9828249970494645,255.8501827040195,255.78562728380024,251.30694275274055,0.8452222222222222,0.783957775931185,0.9533496940690482,0.8603956625443466,0.9531383051685801,0.9533496940690482,0.7369673252026193,0.783957775931185,0.9404020485465817,85852,66288,23659,4201,90053,89947,0.4462037336250598,0.5002944444444445,0.9988229153942677,1.2674488269469955,0.49999999593604694,0.9841973284180756,255.53125,255.6818181818182,251.46875
8,0.0004900932745763975,0.000980166695995633,0.001960313538834105,287.7954959869385,0.832197619047619,0.8424492722308433,0.8171252744740339,0.8295940597171547,0.9176550333717232,0.8171252744740339,0.847262357595464,0.8424492722308433,0.8225490377327097,171553,177970,32083,38394,209947,210053,0.35987707801916424,0.4998738095238095,0.9994953654553851,0.35987707801916424,0.027492117872359584,0.3873691958915238,0.9937166436581025,0.379948962255225,0.9827421403133564,255.8501827040195,255.78562728380024,251.28745432399512,0.8728777777777778,0.8252360431898513,0.9463093955781595,0.8816354400521421,0.9615933051377277,0.9463093955781595,0.7993596228890346,0.8252360431898513,0.9369909428552812,85218,71900,18047,4835,90053,89947,0.3517170262268998,0.5002944444444445,0.9988229153942677,2.549538027156483,0.49999999593604694,0.9841973284180756,255.53125,255.6818181818182,251.46875
9,0.00048778860081564096,0.0009755527298894294,0.0019510809880370062,286.8695635795593,0.8398,0.848834877863902,0.8267515134772109,0.8376476719944406,0.9233453198566213,0.8267515134772109,0.8528419018057347,0.848834877863902,0.8312275247662576,173574,179142,30911,36373,209947,210053,0.3484765695959293,0.4998738095238095,0.9994953654553851,0.3484765695959293,0.0228312192646385,0.3713077888605678,0.9942284083395434,0.4218990052500078,0.9825778048497164,255.8501827040195,255.78562728380024,251.24969549330086,0.8678666666666667,0.8160211351562724,0.9500960545456565,0.8779694410524264,0.9603327024783409,0.9500960545456565,0.7855403737756679,0.8160211351562724,0.9402003965349762,85559,70657,19290,4494,90053,89947,0.4025670750574632,0.5002944444444445,0.9988229153942677,2.118839172477072,0.49999999593604694,0.9841973284180756,255.53125,255.6818181818182,251.46875
